benchmarks,baselinerss,dangrss,extramemory 
bzip2,854.142,869.161,15.02
gcc,114.34,369.207,254.87
milc,647.039,843.874,196.84
gobmk,33.8847,257.16,223.28
hmmer,31.6067,61.5345,29.93
sjeng,179.271,202.317,23.05
libquantum,71.4484,88.8538,17.41
h264ref,34.2017,58.7903,24.59
lbm,412.537,428.296,15.76
sphinx3,44.2548,617.769,573.52
perlbench,187.634,3012.63,2825.00
namd,50.1214,72.6506,22.53
dealII,196.355,1160.37,964.02
omnetpp,156.522,7626.64,7470.12
astar,87.5422,1993.17,1905.63
xalancbmk,318.452,2815.17,2496.72
