benchmark,heapptrbaseline,allptrbaseline,heapptrsafestack,allptrsafestack,numinst
bzip2,1.01,1.01,1.01,0.99,30
gcc,1.42,1.59,1.33,1.48,28494
milc,1.17,1.39,1.06,1.26,100
gobmk,1.27,1.29,1.28,1.30,333
hmmer,1.01,1.01,1.00,1.00,487
sjeng,1.41,1.42,1.33,1.34,14
libquantum,1.41,1.23,1.02,0.88,19
h264ref,1.02,1.02,1.00,1.01,426
lbm,1.11,1.08,1.03,1.00,14
sphinx3,1.02,1.02,1.02,1.02,433
perlbench,4.49,4.87,4.05,4.40,8177
namd,0.99,0.99,1.00,0.99,60
dealII,1.60,1.60,1.59,1.59,6426
omnetpp,6.40,6.89,5.35,5.76,6907
astar,2.21,2.24,2.14,2.17,97
xalancbmk,1.88,2.08,1.78,1.98,27838
GEOMEAN,1.53,1.57,1.44,1.48,N/A

















