benchmarks,numinst,ptrreg,dupptr,objalloc,objfree,logflow
bzip2,30,765968,387551,28,24,0
gcc,28494,609915202,498907559,1844516,1826931,8828753
milc,100,2329920555,693600490,6515,6466,82320198
gobmk,333,1837036147,24828981,133391,133380,5931088
hmmer,487,2402990,531424,1393634,1393634,7767
sjeng,14,271153182,0,5,1,0
libquantum,19,130,64,149,149,0
h264ref,426,783327,117826,38270,38268,44213
lbm,14,6006,6000,4,4,0
sphinx3,433,312774467,114752813,14224557,14023887,16242308
perlbench,8177,21572911334,20049851523,53672668,51968702,113978313
namd,60,60823,28393,1324,1322,0
dealII,6426,78545358,31804467,151258310,151258316,305827
omnetpp,6907,16653803247,1799763076,267168424,267102188,226081997
astar,97,675195268,43980401,3683333,3683333,18641362
xalancbmk,27839,2917543203,1067660925,135155549,135155556,32601425
